The Sound of Suffering		The Master of Perceptions	English	Darin C.  Brown	4.25	4
Fifth Business	Fifth Business	The Deptford Trilogy	English	Robertson Davies	4.05	15828	991	Fiction,Cultural,Canada,Classics,Historical,Historical Fiction,Literature	Ramsay is a man twice born, a man who has returned from the hell of the battle-grave at Passchendaele in World War I decorated with the Victoria Cross and destined to be caught in a no man's land where memory, history, and myth collide. As Ramsay tells his story, it begins to seem that from boyhood, he has exerted a perhaps mystical, perhaps pernicious, influence on those around him. His apparently innocent involvement in such innocuous events as the throwing of a snowball or the teaching of card tricks to a small boy in the end prove neither innocent nor innocuous. Fifth Business stands alone as a remarkable story told by a rational man who discovers that the marvelous is only another aspect of the real.	https://www.goodreads.com/book/show/74406.Fifth_Business
Midnight Awakening	Midnight Awakening	Midnight Breed	English	Lara Adrian	4.25	38880	1089	Romance,Paranormal Romance,Fantasy,Paranormal,Paranormal,Vampires,Romance	With a dagger in her hand and vengeance on her mind, Darkhaven beauty Elise Chase prowls Boston’s streets in search of retribution against the Rogue vampires who took from her everything she cherished. Using an extraordinary psychic gift, she tracks her prey, well aware that the power she possesses is destroying her. She must learn to harness this gift, and for that she can turn to only one man—the deadliest of the Breed warriors, Tegan. No stranger to loss, Tegan knows Elise’s pain. He knows fury, but when he slays his enemies it is with ice in his veins. He is perfect in his self-control, until Elise seeks his aid in her personal war. An unholy alliance is forged—a bond that will link them by blood and vow—and plunge them into a tempest of danger, desire, and the darkest passions of the heart. . . .	https://www.goodreads.com/book/show/1388813.Midnight_Awakening
Concrete Island	Concrete Island		English	J.G. Ballard	3.59	7368	419	Fiction,Science Fiction,Thriller,Drama,Suspense	On a day in April, just after three o'clock in the afternoon, Robert Maitland's car crashes over the concrete parapet of a high-speed highway onto the island below, where he is injured and, finally, trapped. What begins as an almost ludicrous predicament in Concrete Island soon turns into horror as Maitland - a wickedly modern Robinson Crusoe - realizes that, despite evidence of other inhabitants, this doomed terrain has become a mirror of his own mind. Seeking the dark outer rim of the everyday, Ballard weaves private catastrophe into an intensely specular allegory.	https://www.goodreads.com/book/show/70251.Concrete_Island
The House at Pooh Corner and Now We Are Six	The House at Pooh Corner / Now We Are Six			A.A. Milne	4.27	630		Childrens,Classics,Poetry,Fiction		https://www.goodreads.com/book/show/1370123.The_House_at_Pooh_Corner_and_Now_We_Are_Six
The House at Pooh Corner and Now We Are Six	The House at Pooh Corner / Now We Are Six			A.A. Milne	4.27	630	1	Childrens,Classics,Poetry,Fiction		https://www.goodreads.com/book/show/1370123.The_House_at_Pooh_Corner_and_Now_We_Are_Six
The V Girl	The V Girl		English	Mya Robarts,Mya Robarts	4.02	8755	1030	Romance,Young Adult,Coming Of Age,Young Adult,Science Fiction,Dystopia,Fiction	ROMANCE SET IN A DYSTOPIAN FUTURE In post-apocalyptic North America two emerging nations are at war and sexual slavery is legal. Lila Velez desperately wants to lose her virginity before the troops visit her town and take it away by force. She makes plans to seduce her only friend. Lila does not love him, but he is the only man who has shown her true affection, an affection she is willing to take as a substitute for love. Lila hides a secret that will bring her closer to Aleksey Fürst, a foreign, broody man who she distrusts because of his links to the troops and his rough, yet irresistible appearance. He offers Lila an alternative to her plans, a possibility that terrifies her…and tempts her in spite of herself. With threats looming at every turn and no way to escape, Lila fears that falling in love will only lead to more heartache. The consequences of laying down her arms for Aleksey and welcoming hope might destroy more than her heart. They might force her to face the worst of her nightmares becoming a reality. Is love possible in a world that has forgotten what the human touch is? NOTES FROM THE AUTHOR * This is a book full of romance and anti-rape messages. I didn't write this book to romanticize violence against women but to tell the story of a girl who has to come of age under the most terrible circumstances. * This full-length novel is a stand alone. No cliffhanger. * Alpha male hero. No cheating. No slut-shaming. * Includes a discussion guide for bookclubs. * Possible triggers for abuse survivors. * Loosely based on documented evidence of unpunished war crimes.	https://www.goodreads.com/book/show/25437891-the-v-girl
Demon from the Dark	Demon From the Dark	Immortals After Dark	English	Kresley Cole	4.47	40503	1401	Romance,Paranormal Romance,Fantasy,Paranormal,Romance,Paranormal,Vampires,Fantasy,Paranormal,Demons	Alternate cover for this ISBN here: https://www.goodreads.com/book/show/3... From New York Times bestselling author Kresley Cole comes this scorching tale of a demon outcast poisoned with vampire blood and the vulnerable young witch he vows to protect, even from himself. A DANGEROUS DEMON SHE CAN'T RESIST . . . Malkom Slaine: tormented by his sordid past and racked by vampiric hungers, he's pushed to the brink by the green-eyed beauty under his guard. A MADDENING WITCH HE ACHES TO CLAIM . . . Carrow Graie: hiding her own sorrows, she lives only for the next party or prank. Until she meets a tortured warrior worth saving. TRAPPED TOGETHER IN A SAVAGE PRISON . . . In order for Malkom and Carrow to survive, he must unleash both the demon and vampire inside him. When Malkom becomes the nightmare his own people feared, will he lose the woman he craves body and soul?	https://www.goodreads.com/book/show/7098304-demon-from-the-dark
My Man Jeeves	My Man Jeeves	Jeeves	English	P.G. Wodehouse	4.11	32517	1957	Fiction,Humor,Classics,Short Stories,Humor,Comedy,Audiobook,European Literature,British Literature,Historical,Historical Fiction,Literature,20th Century,Literature	"Who can forget our beloved gentleman's personal gentleman, Jeeves, who ever comes to the rescue when the hapless Bertie Wooster falls into trouble. My Man Jeeves is sure to please anyone with a taste for pithy buffoonery, moronic misunderstandings, gaffes, and aristocratic slapstick. Contents: ""Leave It to Jeeves"" ""Jeeves and the Unbidden Guest"" ""Jeeves and the Hard-boiled Egg"" ""Absent Treatment"" ""Helping Freddie"" ""Rallying Round Old George"" ""Doing Clarence a Bit of Good"" ""The Aunt and the Sluggard"""	https://www.goodreads.com/book/show/200572.My_Man_Jeeves
@@ -3965,7 +3965,7 @@ The Melancholy Death of Oyster Boy and Other Stories	The Melancholy Death of Oys
Hot Six	Hot Six	Stephanie Plum	English	Janet Evanovich	4.19	112845	2326	Mystery,Fiction,Humor,Womens Fiction,Chick Lit,Romance	Low-rent bounty hunter Stephanie Plum reaches depths of personal experience that other women detectives never quite do. In Hot Six , for example, a sequence of new and hideous cars bite the dust; she finds herself lumbered with a policeman's multiply incontinent dog; and she has several bad skin days. All this when she is trying to prove her distinctly more competent colleague and occasional boyfriend Ranger innocent of a mob hit; avoid the heavies trailing her in the hope of finding him; and cope with a wife-abusing bail defaulter with nasty habits, such as setting Stephanie on fire.	https://www.goodreads.com/book/show/6858.Hot_Six
